country_code,total,0_5,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,70_84,85_over
DE,83019213,3926397,3662238,3702180,4003477,4607272,5193335,5409029,5237416,4841738,5584519,6875948,6598218,5493914,4808497,3596545,4089384,3111597,2277509
IT,60359546,2367686,2722796,2871733,2897141,2990245,3211025,3369346,3704872,4418357,4824297,4934336,4417895,3846237,3490973,3233852,2728681,2176582,2153492
FR,67012883,3741707,4122551,4183612,4136255,3736133,3790316,4062485,4236160,4107779,4555756,4460465,4327805,4081786,3917445,3266695,2179268,1874151,2232514
ES,46937060,2067503,2356886,2505728,2332161,2288322,2525120,2801658,3436405,3984581,3812140,3640087,3273516,2807378,2406253,2187986,1630452,1363069,1517815








